res	1920	1088
frame	id	x	y	area
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	0	1203.0	352.0	152
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	1	1266.0	724.0	110
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	2	1284.0	580.0	107
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	3	1149.0	782.0	98
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	4	1247.0	542.0	89
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	5	1265.0	366.0	86
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	6	1228.0	540.0	80
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	7	1056.0	709.0	68
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	8	953.0	635.0	65
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	9	1145.0	484.0	63
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	10	1164.0	763.0	62
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	11	1067.0	726.0	59
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	12	1056.0	660.0	58
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	13	1093.0	677.0	57
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	14	1122.0	812.0	53
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	15	1138.0	510.0	53
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	16	1429.0	742.0	53
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	17	1152.0	265.0	52
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	18	1006.0	622.0	51
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	19	1192.0	1069.0	50
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	20	1327.0	655.0	50
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	21	1415.0	649.0	50
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	22	968.0	775.0	49
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	23	1009.0	825.0	47
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	24	1177.0	781.0	47
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	25	1263.0	379.0	47
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	26	1298.0	511.0	46
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	27	1290.0	964.0	44
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	28	1010.0	543.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	29	1123.0	675.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	30	1133.0	574.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	31	1413.0	677.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	32	932.0	645.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	33	1236.0	716.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	34	1310.0	773.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	35	1207.0	331.0	40
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	36	973.0	657.0	39
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	37	771.0	694.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	38	1030.0	894.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	39	1231.0	784.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	40	1065.0	573.0	37
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	41	1228.0	590.0	37
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	42	1295.0	558.0	37
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	43	938.0	563.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	44	939.0	798.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	45	1166.0	778.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	46	1202.0	667.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	47	1284.0	684.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	48	1335.0	846.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	49	1384.0	699.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	50	980.0	280.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	51	1132.0	971.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	52	1176.0	572.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	53	1238.0	638.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	54	1299.0	549.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	55	865.0	773.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	56	1041.0	373.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	57	1070.0	545.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	58	1288.0	856.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	59	1309.0	880.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	60	1410.0	659.0	34
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	61	820.0	722.0	33
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	62	874.0	742.0	33
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000000.bmp	0	63	899.0	418.0	33
